path,name,extension,language,role,top_level_dir,size_bytes,is_binary,is_text,total_lines,code_lines,comment_lines,blank_lines,doc_lines,tracked,commit_count,additions,deletions,churn,author_count,authors,last_commit_iso,coverage_percent,coverage_statements,coverage_branches,coverage_partial_branches,risk_score,risk_label,hotspot_score,size_bucket,notes,module_name,class_count,function_count,method_count,test_function_count,module_docstring,docstring_lines,import_count,internal_import_count,external_import_count,average_function_length,max_function_length,average_function_cc,max_function_cc,average_max_nesting,max_nesting,approx_cyclomatic_complexity,approx_halstead_volume,approx_halstead_difficulty,approx_halstead_effort,approx_maintainability_index,radon_mi,radon_cc_average,radon_cc_max,syntax_error,internal_imports,external_imports
src/api_v2.py,api_v2.py,.py,Python,application,src,38176,False,True,1154,929,27,198,0,True,8,1550,396,1946,2,Andreas; Andreas Keis,2026-02-22T17:25:22+00:00,0.0,0,0,0,82.42,Critical,152276.26,L (500-999),large-file; low-maintainability; high-complexity-function; high-churn,src.api_v2,8,30,0,0,False,4,20,3,16,31.77,203,6.93,43,1.4,6,208,30597.68,35.7,1092266.02,0.0,,,,,src; src.error_contract; src.ontology_runtime,PIL; __future__; base64; fastapi; inspect; io; logging; os; pathlib; pydantic; re; shutil; sqlite3; stat; time; typing
src/ingest_wardrobe.py,ingest_wardrobe.py,.py,Python,application,src,26571,False,True,682,565,20,97,0,True,3,894,212,1106,2,Andreas; Andreas Keis,2026-02-22T14:18:16+00:00,0.0,0,0,0,69.61,High,61768.33,L (500-999),large-file; low-maintainability; high-complexity-function; high-churn,src.ingest_wardrobe,1,21,0,0,False,9,23,3,20,29,297,5.1,52,1.43,9,107,16775.96,26.65,447145.51,0.0,,,,,src; src.db_schema; src.run_registry,PIL; __future__; argparse; base64; dataclasses; gc; hashlib; inspect; io; json; logging; openai; os; pathlib; shutil; sqlite3; stat; sys; time; typing
src/ontology_runtime.py,ontology_runtime.py,.py,Python,application,src,17673,False,True,465,385,12,68,0,True,1,465,0,465,1,Andreas Keis,2026-02-15T10:25:34+00:00,0.0,0,0,0,63.22,High,51074.26,M (200-499),low-maintainability; high-complexity-function; high-churn,src.ontology_runtime,3,2,10,0,False,0,10,1,9,34.25,134,11.75,60,2.08,8,141,14880.1,36.25,539363.17,0.0,,,,,src,__future__; dataclasses; difflib; logging; pathlib; re; sqlite3; typing; yaml
src/category_map.py,category_map.py,.py,Python,application,src,10940,False,True,364,273,38,53,0,True,1,364,0,364,1,Andreas,2026-03-01T16:22:46+00:00,0.0,0,0,0,54.87,Moderate,38864.18,M (200-499),low-maintainability; high-complexity-function; high-churn,src.category_map,0,7,0,0,False,0,3,0,3,24.14,114,12.14,65,0.86,2,85,7365.61,17.05,125580.75,8.35,,,,,,__future__; re; typing
tools/project_audit_dump.py,project_audit_dump.py,.py,Python,tooling,tools,15290,False,True,446,350,26,70,0,True,1,446,0,446,1,Andreas,2026-02-21T14:06:28+00:00,0.0,0,0,0,48.89,Moderate,24049.49,M (200-499),low-maintainability; high-complexity-function; high-churn,tools.project_audit_dump,1,14,0,0,True,27,14,0,14,23.14,147,5.36,24,1.43,4,75,11584.62,22.5,260701.45,5.96,,,,,,__future__; argparse; base64; dataclasses; datetime; fnmatch; hashlib; os; pathlib; platform; re; subprocess; sys; typing
tests/test_api_v2_crud.py,test_api_v2_crud.py,.py,Python,test,tests,6725,False,True,211,169,4,38,0,True,7,314,103,417,2,Andreas; Andreas Keis,2026-02-22T17:25:22+00:00,0.0,0,0,0,40.22,Moderate,21332.56,S (50-199),low-maintainability; high-complexity-function; high-churn,tests.test_api_v2_crud,0,8,0,8,False,0,12,2,9,22.75,86,5.88,30,0,0,47,4533.59,10.77,48814.55,19.48,,,,,src; src.api_main,PIL; __future__; base64; fastapi.testclient; io; os; pathlib; pytest; sqlite3
src/run_registry.py,run_registry.py,.py,Python,application,src,11211,False,True,375,311,6,58,0,True,3,391,16,407,1,Andreas,2026-02-22T16:58:17+00:00,0.0,0,0,0,44.42,Moderate,16573.41,M (200-499),low-maintainability; high-complexity-function; high-churn,src.run_registry,1,15,5,0,False,8,12,2,10,14.8,55,3.9,21,1.1,3,78,8211.19,29.85,245117.71,7.72,,,,,src; src.db_schema,__future__; contextlib; dataclasses; datetime; json; re; sqlite3; time; typing; uuid
tools/secret_scan.py,secret_scan.py,.py,Python,tooling,tools,7909,False,True,288,230,9,49,0,True,1,288,0,288,1,Andreas,2026-02-22T17:09:24+00:00,0.0,0,0,0,39.54,Moderate,16146.5,M (200-499),low-maintainability; high-complexity-function; high-churn,tools.secret_scan,1,9,0,0,False,4,8,0,8,16.89,37,6.11,16,1.89,4,55,6003.57,17.06,102440.8,14.63,,,,,,__future__; argparse; dataclasses; pathlib; re; subprocess; sys; typing
tools/ingest_recover.py,ingest_recover.py,.py,Python,tooling,tools,7615,False,True,184,145,8,31,0,True,1,184,0,184,1,Andreas,2026-02-22T16:50:49+00:00,0.0,0,0,0,35.61,Moderate,11987.45,S (50-199),low-maintainability; high-complexity-function; high-churn,tools.ingest_recover,0,4,0,0,False,0,11,3,8,37,117,8,25,2,6,32,4393.0,19.25,84578.64,23.04,,,,,src; src.db_schema; src.run_registry,__future__; argparse; hashlib; json; pathlib; sqlite3; sys; typing
tools/handoff_make.py,handoff_make.py,.py,Python,tooling,tools,7431,False,True,204,167,10,27,0,True,1,204,0,204,1,Andreas,2026-02-21T15:18:14+00:00,0.0,0,0,0,33.7,Low,11378.85,S (50-199),low-maintainability; high-complexity-function; high-churn,tools.handoff_make,0,4,0,0,True,17,9,0,9,40.75,151,6.5,20,0.75,2,26,5464.13,15.04,82201.87,21.85,,,,,,__future__; argparse; datetime; os; pathlib; shutil; subprocess; sys; typing
